"Afrocarpus_falcatus","Alangium_chinense","Albizia_gummifera","Allophylus_kiwuensis","Antidesma_spp","Apodytes_dimidiata","Balthasaria_schliebenii","Beilschmiedia_rwandensis","Bersama_abyssinica","Bridelia_brideliifolia","Carapa_grandiflora","Casearia_barteri","Cassipourea_ruwenzorensis","Chrysophyllum_gorungosanum","Chrysophyllum_rwandense","Cleistanthus_polystachyus","Croton_macrostachyus","Croton_megalocarpus","Dichaetanthera_corymbosa","Dombeya_torrida","Drypetes_gerrardii","Drypetes_occidentalis","Ekebergia_capensis","Entandrophragma_excelsum","Ficalhoa_laurifolia","Ficus_oreodryadum","Ficus_sur","Garcinia_volkensii","Grewia_mildbraedii","Harungana_montana","Heinsenia_diervilleoides","Ilex_mitis","Ixora_burundensis","Kuloa_usambarensis","Macaranga_kilimandscharica","Maesa_lanceolata","Magnistipula_butayei","Maytenus_acuminata","Millettia_dura","Musanga_leo-errerae","Myrianthus_holstii","Neoboutonia_macrocalyx","Newtonia_buchananii","Noronhia_africana","Ochna_afzelii","Ocotea_kenyensis","Olea_capensis","Olinia_rochetiana","Parinari_excelsa","Pentadesma_reyndersii","Podocarpus_latifolius","Polyscias_fulva","Prunus_africana","Psychotria_capensis_var_puberula","Psydrax_subcordata","Rapanea_melanophloeos","Rytigynia_kigeziensis","Sapium_ellipticum","Strombosia_scheffleri","Symphonia_globulifera","Syzygium_guineense","Tabernaemontana_stapfiana","Vepris_stolzii","Warneckea_walikalensis","Xymalos_monospora","Zanthoxylum_gillettii"
"1",0,0,0,0,0,0,19.1395,0,25.8085,0,13.85,0,0,0,0,0,0,0,0,0,0,0,30.0695,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,11.875,0,0,0,0,0,0,71.777,0,0.277,15,0,0,0,0,34.5,0,0,60.225,0,0.205,119.575,28.6,0,0,0,0,10.034,0,0,0,0.081,0,0,0,17.2,0,0,131.2,0,0,0.8,0,0,0,0,0,0,11.25,0,0,118.351,18.375,0,0,0,0,0,31.2035,11.4,0,0,0,0,0
"3",17.25,3.925,8.6,0,0,0,16.336,15.3,84.502,0.085,13.502,7.5,6.95,0,0,0,31.35,0,0,52.225,0,0.205,74.1045,0.275,0,0,0,0,10.034,0,0,0,14.23,36.75,0,0,99.1,0,24.5775,110.54,20.717,0,109.125,0,0,0,0,0,26.541,0.709,0.1315,0,90.034,0,0,0,0,14.5,0,31.5,0,5.75,0,0.225,0,0
"4",34.5,14.5535,22.7,0,0,0,17.663,0,26.4255,0,0.2675,0.4425,5.69,64.6175,0,0,205.775,0,0,44.175,0,0,48.6165,128.775,0,0,0,0,0.1975,0,0,0,0.1,0,19.275,15.359,0.361,0,0.5575,12.525,25.05,0,139.675,0,0,0,0,0.3355,28.932,0.165,0,30,19.4,0,0,0.0625,13.683,29,0,46.325,0,17.75,0,0,0,0
"5",0,7.42,22.1535,0,0,0,16.969,0,66.977,0,13.375,23.25,36.6,142.075,0,0,194.575,0,0,140.525,0,0,121.082,37.428,0,0,0,0,0,13.5,0,0,4.05,0,125.975,0,0,0,18.25,110.325,34.925,20.3,136,0,0,0,0,0,1.08,0,0,61.25,0,0,0,0,29.726,14.5,0,106.9385,0,10.115,0,0,0,0
"6",0,0,45.097,0,0,0,54.06,45.025,71.7,0.333,55.575,29.8,61.975,100.556,0.378,0,200.475,19.5,0,292.8,0,0,200.377,297.906,0,0,0,0,0.1975,0,0,0.2645,3.3,0,60.525,20.225,0,0,18.25,41.75,25.106,7.4,1.06,0,68.9,0,9.45,0.2575,0.391,0,0,103.425,0,24.75,0,0,6.933,43.5,56.325,54.5135,0,17.5,0,0.2825,0,0
"7",34.5,102.45,23.25,0,0,0,28.029,30.6,97.55,0,48.7535,7.5,65.225,184.4,0,0,84.65,0,0,351.225,0,0,1.0505,13.75,36.9,0,0,0,0,51.6,0,37.02,0.147,0,83.715,90.1,0,0,0,53.125,7.745,19.65,113.675,0,40.875,0,0,0,50.891,0,5.55,173.7275,0.3615,6.3725,0,0,0.513,29,261.625,107.335,5.75,13.25,0,0,0,0
"8",0,0,67.222,0,0,0,30.7835,0.3455,0.2545,68.425,35.027,0.2935,26.75,17.765,32.7825,0,35.24,0,0,172.925,0,0,0,0,0,0,0,0,0,83.55,0,114.775,0,0,53.425,81.025,0,0,0,89.975,0.21,9.425,0,0,0,0,0,0.3325,43.35,0,0,1.1175,0,9.625,0,7.225,0,43.5,247.288,68.3535,0,17.5,0,0.249,0,0
"9",0,0,31.155,0,0,0,95.5765,0,0.2295,83.423,56.6895,38.825,0,14.5,0.378,0,0,13,0,319.45,0,0,0,0,0,0,0,0,0,38.835,0,0.1255,0,0,0,45.9335,0,0,0,109.775,0.569,0,62.3265,0,0,0,0,0,17.355,0,0,0,0,9.8975,0,0,0.187,0,317.409,45.3085,0,13.25,0,0,0,0
"10",0,0,175.05,0,0,0,13.033,0,0,14.787,14.1325,0,0,0.427,0,54,0,0,0,162.825,0,0,0,0.572,0,0,0,0,0,12.9,0,0,0.13,0.37,0,22.8,0,0,0,87.05,0,0,453.405,0,0,0,0,0,1.212,45,0,0,61.125,9.805,0,0,0,0,1.1015,15.2985,0,0.365,0,0,0,0
