"Afrocarpus_falcatus","Alangium_chinense","Albizia_gummifera","Allophylus_kiwuensis","Antidesma_spp","Apodytes_dimidiata","Balthasaria_schliebenii","Beilschmiedia_rwandensis","Bersama_abyssinica","Bridelia_brideliifolia","Carapa_grandiflora","Casearia_barteri","Cassipourea_ruwenzorensis","Chrysophyllum_gorungosanum","Chrysophyllum_rwandense","Cleistanthus_polystachyus","Croton_macrostachyus","Croton_megalocarpus","Dichaetanthera_corymbosa","Dombeya_torrida","Drypetes_gerrardii","Drypetes_occidentalis","Ekebergia_capensis","Entandrophragma_excelsum","Ficalhoa_laurifolia","Ficus_oreodryadum","Ficus_sur","Garcinia_volkensii","Grewia_mildbraedii","Harungana_montana","Heinsenia_diervilleoides","Ilex_mitis","Ixora_burundensis","Kuloa_usambarensis","Macaranga_kilimandscharica","Maesa_lanceolata","Magnistipula_butayei","Maytenus_acuminata","Millettia_dura","Musanga_leo-errerae","Myrianthus_holstii","Neoboutonia_macrocalyx","Newtonia_buchananii","Noronhia_africana","Ochna_afzelii","Ocotea_kenyensis","Olea_capensis","Olinia_rochetiana","Parinari_excelsa","Pentadesma_reyndersii","Podocarpus_latifolius","Polyscias_fulva","Prunus_africana","Psychotria_capensis_var_puberula","Psydrax_subcordata","Rapanea_melanophloeos","Rytigynia_kigeziensis","Sapium_ellipticum","Strombosia_scheffleri","Symphonia_globulifera","Syzygium_guineense","Tabernaemontana_stapfiana","Vepris_stolzii","Warneckea_walikalensis","Xymalos_monospora","Zanthoxylum_gillettii"
"1",19.32,140.2235,486.48,0,0,0,449.954,91.2705,452.4785,80.8075,252.0005,152.7545,203.19,518.6955,34.5485,54,786.565,32.832,0,1929.475,0,0.41,481.896,612.9135,36.9,0,0,0,48.336,187.11,0,197.575,12.1375,37.12,342.915,263.1515,186.861,0,64.51,811.65,114.322,56.775,1623.6195,0,109.9825,0,40.56,0.9255,864.347,57.124,46.003,369.52,282.5755,119.949,0,7.2875,16.022,174,884.0685,566.576,18.749,95.48,0,0.7565,0,0
"2",35.19,51.8065,469.2175,0,117.311,38.95,451.3635,1.33300000000002,382.804,73.784,547.182,53.6685,0,497.7535,1.8075,0,410.0675,352.9845,0,1469.378,0,0,773.0535,641.8455,498.295,0.8105,0,0,31.566,16.0735,0,145.214,0.255999999999998,0,0,354.2425,0,9.2135,87.4825,275.443,12.4965,0,1057.6,0,0,0,41.6935,347.2635,532.6175,187.897,65.9765,165.4585,354.9795,238.973,41.922,403.7945,0,0.665000000000003,1112.5745,242.1755,1224.2965,15.2,0,227.312,0,0
"3",139.035,0,81.7305,3.825,81.622,48.966,317.923,0,232.3775,60.539,664.239,0,214.227,70.5565,24.3655,67.805,288.842,0,0.852,1412.021,0,17.8,165.3485,0,0,0.3735,0,0,0,81.2805,0,182.263,8.643,0.624999999999997,19.429,355.265,0,6.1975,30.205,449.9225,15.476,126.67,565.1405,40.1575,48.62,0,55.1415,0,115.257,0,13.8955,1.46699999999998,0,138.257,0,49.3870000000001,42.667,10.965,286.5935,0,107.699,15.445,18.216,0,0,0
"4",18.4325,137.807,136.0805,3.9015,36.07,110.81,446.56,0.690500000000016,206.4865,5.07400000000004,29.9195000000001,124.1705,0,215.1575,66.9055,70.805,520.3445,0,0,737.148,0,58.8,509.0465,122.3745,214.37,19.859,0,0.083,1.91200000000001,47.051,0,240.4625,8.478,0,0,27.6500000000001,0.36099999999997,0,17.9625,339.015,2.882,0,721.639,4.27,0,0,74.878,20.5214999999999,794.6775,99.094,130.6535,244.8855,0,139.475,0,36.2310000000001,4.5165,0.665000000000004,467.7045,0,496.521,62.165,0,225.6125,0,0
"5",0.919999999999972,126.1625,200.138,3.825,166.745,110.834,246.767,0,738.385,0,83.7545000000001,38.075,0,139.0065,39.6325,22.376,488.9715,268.298,0.284,1908.335,0,0,328.0605,187.7955,195.136,0,0,0,1.03500000000001,70.258,0,386.115,8.307,0,293.998,128.6245,34.1435,0.182000000000001,0,234.353,66.5865,0,0,0,0,0.1995,73.999,96.1974999999999,0,127.9085,0,0,234.0555,89.6735,0.547999999999998,0,0,0,390.038,25.1415,93.4105000000001,53.3575,0,0,0,0
"6",104.88,141.2635,172.2435,0,166.766,0,313.7945,0,0,41.2175,64.2630000000001,53.4615,275.761,0,86.0475,29.3695,106.0025,0,0,1761.0505,0,0,5.00550000000005,30.4919999999999,112.765,49.2685,0,0,12.0835,38.227,0.1215,369.7185,0,12.25,293.998,256.5095,0,0,18.7025,263.9085,14.968,0.148000000000021,826.9595,15.6325,0,0,128.9075,295.8135,611.485,0,22.045,406.8325,147.3925,36.247,0,27.0400000000001,0.371499999999994,0.215000000000004,359.0535,52.5515,78.1230000000001,17.75,23.735,0,0,0
"7",18.975,141.6735,333.171,0.0765,130.541,146.7695,357.7485,13.175,660.9475,72.077,127.1535,90.664,221.1625,2.62949999999998,136.2955,0,0,144.462,0,771.7865,0,20.91,727.316,0,189.404,72.3635,0,0,18.234,0,0,334.5105,0.702000000000001,0,79.0115,0,544.7085,0.259500000000001,54.2925,334.256,0,0,1374.292,18.345,30.6925,0,0,293.1605,181.717,146.8185,80.026,0,203.4405,222.1855,0.273999999999998,0,0,0,938.2135,106.2915,382.2595,17.35,0,487.3755,0,0
"8",46.194,83.752,302.8965,0,0,0,278.8555,0.538000000000016,0,87.4565,25.6875000000001,81.2355000000001,0,41.325,1.09099999999996,33.3035,406.899,61.862,0,555.282,0,86.365,0,165.517,344.032,95.8335,0,0,33.2135,135.227,0,432.8305,0.493000000000001,0,489.6145,379.0515,0,0,0,366.5665,56.3425,18.6435,0,0,30.4925,0,166.26,145.354,178.7275,208.666,78.6405,52.614,0,42.894,0,153.384,12.803,218.572,0,65.9975,441.0395,64.9485,0,0,3,0
"9",2.60399999999994,87.565,279.1605,0,0,207.477,201.4925,1.03600000000002,582.3575,0,25.4725000000001,48.8175,144.5915,625.0815,0,0,442.512,473.117,0,732.632,0,46.325,682.6015,153.205,248.282,50.0485,0,0,13.6795,35.7215,0,255.3935,0.436500000000001,25,109.054,0.232000000000026,82.2675,4.5,56.163,340.7365,67.8775,5.83000000000002,764.398999999999,51.9675,0,0,0,33.071,837.012,43.5855,97.7505,249.628,370.6275,164.619,0,57.1745000000001,0,343.331,228.498,517.5,497.4805,0,0,0,0,0
"10",0,28.7685,133.134,0,23.86,0.781999999999992,241.244,0,140.692,8.84550000000004,150.4405,110.1225,0,3.80699999999999,374.452,54.7395,244.5765,0,0,569.175,0,46.26,342.2035,17.2014999999999,181.3235,66.2055,0,0,15.601,11.958,0,299.184,0.665000000000001,0,0,83.31,0,0,58.63,358.0705,67.7405,0.728500000000021,0,0,39.2325,0,25.66,340.524,0,430.614,30.7725,0,293.7205,48.367,0,9.99300000000006,4.18299999999999,0,110.2305,0,184.014,28.13,0,260.952,0,0
