"ACAH","AEGC","ALCC","ALSB","AMPP","ANAE","ANNS","ANTP","APEM","ARR1","ARR2","ARRV","ASTG","BEIP","BROA","CAL1","CAS3","CELI","CERT","CHRC","CISE","COCP","COMD","CORA","CORB","CORL","COUC","CYDA","DAVN","DENA","DESP","DIPP","DOL1","DOL2","DOLO","DRYS","EUGC","EUGO","FARO","GUA2","GUAD","GUAS","HAM2","HASF","HEIC","HIPV","HIR1","HIRF","HIRG","HIRT","HYBP","INMA","JACC","LONL","LUE1","MACU","MARP","MASH","MASN","MENG","MENL","MOUM","OENM","PARP","PAU1","PAU3","PAUF","PAUR","PAUT","PHRC","PITC","PLAE","PLAP","POUA","POUU","PRIA","PRIC","PROT","PYFU","PYHO","QUA1","RANA","RIN2","SAPG","SCHM","SER1","SERM","SIMA","SORA","SPOM","SPOR","TABA","TABG","TABR","TERA","TERO","TET2","TETD","TETH","THIM","TRAA","TRI1","TRI3","TRIC","TYNC","VIR1","VIR2","ZAN1"
"1",0,0,0,4394.6666666688,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,11,0,0,0,0,0,19.44,2,0,4,0,7,0,0,26.9428571429,0,0,0,0,0,0,3,0,0,3,0,0,2,0,1,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,0,1.5828571429,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,4.7,0,52.8,4,5,0
"2",0,0,0,74663.5555555918,4,0,0,0,4783.88,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,13,3,0,0,1,15,0,0,0,0,0,58.32,1,0,16,0,0,0,29,40.3142857143,0,0,0,6,0,1,9,0,41.9975,14,5.2301282052,0,197,1,8,12,2,0,0,0,0,0,0,1,15,10,0,3.5,0,3,0,0,11,5,4.1657142858,0,0,0,7,0,2,0,0,0,0,0,0,0,0,2,16.7231746032,0,14,27.2,22,0,1.7,23,60.4,4,6,0
"3",2,3,13.6666666669,12726.2222222284,3,1,0,0,3609.08,2,0,0,0,1,5,14,0,0,1,0,0,0,0,1,0,3,1,15,0,0,5,0,0,0,0,0,0,2,0,0,38,0,0,0,27,23.9428571429,0,0,0,0,1161,0,6,0,240.9975,35,0,0,1589,0,0,4,2,1,0,16,1,0,40,7,26,4,0,0,0,4,2,1,0,0,0,0,0,0,1,1,209,1,1,0,0,0,7,21,0,17,79.5085714288,3,3,348.16,5,0,2,255,454.6,4,4,1
"4",56,0,550.3333333387,31518.0000000153,0,26,0,0,211,0,0,0,9,6,3,3,0,0,0,0,0,0,19,171,5,37,1,7,0,0,4.9166666667,0,0,0,0,0,0,1,0,0,18,1,0,44.5999999991,0,5.3142857143,0,0,0,1,3,0,1,0,3810.855,13,0,0,299,0,0,3,0,0,0,0,0,0,0,6,33,2,1,3.5,0,10.7,3,1,0,0,1,0,0,0,0,0,243,57,0,0,0,43.875,1,150.3,0,6,18.4463492064,0,0,88.4,3,0,4.7,12,89.4,4,5,0
"5",13,0,442.6666666708,103892.666666717,0,8,0,0,165.16,0,0,0,1,20,678,1,0,0,0,0,0,0,6,43,352,54,0,2,0,12,1,0,0,0,0,0,0,0,0,0,8,70,0,133.9333333306,0,6.3142857143,0,0,0,2,185.9,0,0,0,2665.855,15,0,0,54,0,0,16,0,0,0,0,0,0,1,4,0,1,0,3.5,0,1,0,0,0,0,1.5828571429,0,0,0,0,0,150,4,4,0,0,7,48,5,0,3,5.3615873016,0,0,23.12,0,0,1.7,2,18,0,9,0
"6",1,0,308.3333333385,83246.8888889293,0,2,0,0,0,0,0,0,0,4,236,0,274.5499999983,0,1,0,0,0,0,0,176,16,0,1,0,0,0,0,0,0,0,0,0,0,1,2.85,1,21,0,82.2666666646,0,3,0,0,28,2,0,2,0,0,4824.715,0,4,0,21,0,0,2,9,0,0,0,0,0,0,2,0,0,0,16,0,6.7,0,0,0,0,0,220.8,0,0,0,0,0,0,1,0,0,15,6,0,0,0,31.7231746032,0,0,4.08,1,0,64.3,3,2,0,11,0
"7",1,0,2,113712.000000055,0,0,0,0,0,0,0,0,0,1,157,0,5.3833333333,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1.8727272727,0,0,0,3.0625,0,8,0,0,0,0,4.3999999999,0,3,0,0,0,0,0,0,1,0,1345.92,3,1,0,17,0,0,0,10,4,0,0,0,0,1,1,1,0,0,0,32,3,0,17.142857143,0,0,22.828571429,153.8,0,0,0,0,1,0,0,0,0,12,0,0,0,0,4.3615873016,0,41.6,2.72,0,0,168.4,0,2,0,1,0
"8",0,0,0,163243.555555635,0,0,57,1,0,0,0,0,0,0,2,0,21.5333333332,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.72,0,0,0,45,0,0,0,0,0,0,1,0,0,0,0,0,0,86,0,1007.94,0,0,0,24,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,8,2,1,10.4285714286,0,0,324.457142861,72.8,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13,0,166.4,2.72,0,0,776.9,2,4,0,0,0
"9",1,0,0,53239.5555555814,0,0,292.2805555556,2,0,0,0,0,0,0,8,0,224.7166666653,0,0,5.56,0,0,0,0,0,0,0,0,0,67.85,7,0,27.8727272727,0,52.72,6,1,0,149,0,0,1,0,0,0,0,0,0,0,0,0,0,460.375,0,209.9875,0,0,0,6,3,1,0,37,17,0,0,0,3,2,33.1571428571,0,0,0,0,0,0,0,0,0,26,92.0742857151,30,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,19.2,2.72,0,0,1180,0,0,0,0,0
"10",0,8.25,0,33120.2222222383,0,0,0,0,0,0,0,0,0,0,0,0,16.1499999999,0,2,0,0,0,0,0,0,0,0,0,0,47.85,6,0,3,0,3,0,0,0,486,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2.6150641026,0,1,1,10,0,1,0,0,0,0,0,0,34.1571428571,0,1,0,2,0,0,0,0,2,90.52,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,128.4,0,0,0,12,0,0,25,0,0
"11",0,128,0,46464.444444467,0,0,0,0,0,0,0,0,0,0,0,0,10.7666666666,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,867,0,2,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,4,9,5,0,0,0,0,0,0,0,0,2,30,1,0,0,0,0,0,2.4285714286,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.8,0,0,0,0,0,0,29,0,0
"12",0,30,0,34379.1111111278,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,108,0,13,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,2.6150641026,0,4,0,1,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,41.0847619048,0,0,0,0,0,1,0,1,6,1,0
"13",0,0,0,27260.6666666799,0,0,0,0,117,0,0,0,0,0,1,0,0,0,0,22.12,0,0,0,0,0,0,0,2,0,0,1,27,0,0,0,0,0,0,23,5,30,0,14,0,0,5,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,3,6,0,0,0,0,0,1,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,7,2,3,0,12.8,0,22,0,0,0,26.4,1,0,0
"14",0,5,0,9613.333333338,0,0,0,0,1556.28,0,0,0,0,0,0,0,0,0,1,86.04,0,0,0,0,1,0,0,4,0,0,4,13,0,0,0,0,0,190.92,5,32.85,67,0,0,0,0,6,0,0,0,4,0,0,0,0,1,4,0,0,549,2,1,19,4,2.5,0,1,0,0,1,0,5,18,1,0,0,6,0,0,0,1,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14,0,1,0,12,0,0,0,0,0,1,0
"15",0,0,4,6637.777777781,11,10,0,0,405.32,0,0,0,0,6,0,1,0,0,0,0,0,0,6,5,0,1,0,3,0,0,1,0,0,0,0,0,0,21.44,0,25,10,0,0,0,0,2,0,0,0,0,0,1,1,0,3200.855,17,0,0,1699,1,5,6,3,2,0,93,0,0,2,0,0,17,0,0,0,4,2,0,0,0,1.5828571429,0,0,0,0,0,45,0,0,0,0,3,0,21,0,1,9,0,25.4,42.16,1,0,0,160,3,4,4,0
